algo,model,payoff,drift,volatility,mean,speed,correlation,hurst,nb_stocks,nb_paths,nb_dates,spot,strike,dividend,maturity,nb_epochs,hidden_size,factors,ridge_coeff,train_ITM_only,use_path,price,duration
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.01,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.7314968536058353,5.322203159332275
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.01,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.7495757067488787,5.318256378173828
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.01,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.7468221843442706,5.216816425323486
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.02,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.724287240940649,5.359363555908203
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.02,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.7088315806724622,5.354677438735962
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.02,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.709685927074584,5.376645803451538
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.04,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.6848102041297268,5.467205286026001
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.04,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.6830472170516865,5.452335357666016
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.04,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.6658443852142236,5.464833498001099
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.06,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.6450916949624617,5.443070650100708
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.06,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.6294615202311948,5.323469161987305
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.06,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.623677359848657,5.334070444107056
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.08,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.5788430508144456,5.326400279998779
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.08,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.5815243669838754,5.312251091003418
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.08,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.5825090900621035,5.3597331047058105
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.1,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.5361139196614881,5.297134637832642
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.1,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.5465052342414518,5.360724687576294
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.1,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.5615226644847182,5.311212062835693
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.12,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.5170636862785614,5.435175895690918
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.12,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.5142298250716895,5.401293039321899
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.12,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.513544853749988,5.438352108001709
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.14,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.46285324452962706,5.448089838027954
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.14,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.47080671584415457,5.475346326828003
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.14,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.47077968620569677,5.475836277008057
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.16,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.44657243147595554,5.349953651428223
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.16,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.43799921459093066,5.3832948207855225
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.16,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.43579395006512206,5.412480354309082
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.18,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.41233010238110634,5.446438789367676
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.18,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.406576390522031,5.399359464645386
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.18,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.37392758396201,5.413298845291138
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.2,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3657911711543425,5.4318764209747314
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.2,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.36860574416052494,5.466819763183594
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.2,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.37409707564571054,5.437201023101807
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.22,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3492051811501211,5.420844554901123
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.22,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.33413861235318537,5.429980039596558
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.22,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3355729581262367,5.406958103179932
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.24,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.30450062774991526,5.346082448959351
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.24,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3118325728380808,5.354788303375244
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.24,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.3102873286453927,5.382443428039551
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.26,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.27946744553117975,5.320309638977051
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.26,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.28062489361723936,5.384846210479736
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.26,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.2672945165479614,5.330502033233643
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.28,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.2386576676133734,5.3301451206207275
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.28,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.25154708530839526,5.326033353805542
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.28,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.25110736929273464,5.363696336746216
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.3,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.22395372890670953,5.370194911956787
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.3,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.23265622681186177,5.509291887283325
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.3,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.228435487113293,5.462652206420898
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.32,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.20362404230376951,5.383798122406006
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.32,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.2000395162468781,5.422565221786499
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.32,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1839650240516901,5.345725774765015
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.34,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.17097008891264787,5.413619756698608
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.34,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.16533770393877031,5.366417407989502
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.34,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.177825506883146,5.451984405517578
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.36,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.14783951228901945,5.312127590179443
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.36,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.15758168886122484,5.409218072891235
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.36,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1524714499185824,5.404521465301514
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.38,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.11447356613553183,5.4955291748046875
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.38,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.11876907678532057,5.378549575805664
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.38,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.11217822274856222,5.434237480163574
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.4,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.10243810816032438,5.403128623962402
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.4,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.1030057607120476,5.477870464324951
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.4,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.10071805828640644,5.327553033828735
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.42,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.06404873512404521,5.33026909828186
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.42,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.06851592863202773,5.343918085098267
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.42,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.08008019717236294,5.2950379848480225
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.44,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.05191199618223758,5.360865116119385
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.44,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.054633191822008834,5.337512969970703
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.44,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.04419586916824747,5.378753423690796
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.46,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.03435462612107507,5.36179780960083
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.46,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.029816482447948194,5.40111231803894
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.46,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.04254292938315861,5.404133319854736
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.48,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.008977054988926184,5.376573801040649
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.48,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.013456550579739686,5.401602268218994
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.48,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.020871441890535285,5.201069355010986
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.5,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.008043428910198191,4.473070859909058
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.5,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.00478049563263376,4.5141282081604
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.5,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.0014557249221325635,4.374518871307373
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.52,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.0,5.318042993545532
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.52,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.0,5.251767635345459
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.52,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.013750647714731567,5.382770538330078
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.54,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.01459442287495345,5.353726863861084
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.54,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.014405357457432409,5.421370267868042
RRLSM,FractionalBrownianMotion,Identity,0.02,0.2,0.01,2,-0.3,0.54,5,20000,10,0,100,0.0,1,30,20,"[0.0001, 0.3]",1.0,False,False,0.022858402589252383,5.3885178565979
